COMPANY,STIPEND_OFFERED,STUDENTS_COUNT
Uber,160000.00,2
Microsoft,125000.00,59
Twilio,122325.00,4
Google,110000.00,12
Adobe,100000.00,8
Disney+ Hotstar,100000.00,4
Flipkart,100000.00,4
Goldman Sachs,100000.00,10
Morgan Stanley,87000.00,4
American Express,85000.00,6
Walmart,85000.00,5
Amazon,80000.00,5
Intuit,80000.00,3
Wells Fargo,80000.00,12
Citi Bank,75000.00,12
Deutsche Bank,75000.00,3
Atlassian,70850.00,5
DXC with Globtier,70000.00,1
ServiceNow,70000.00,4
Barclays,66667.00,3
Visa,65000.00,11
BNY Mellon,60000.00,3
Citrix,60000.00,5
Myntra,60000.00,4
Innovate Engineering Solutions,50000.00,1
JPMC,50000.00,15
LoadShare Networks,50000.00,4
Oracle,50000.00,5
Samsung,50000.00,6
Zenduty,45000.00,1
LinkedIn,40000.00,3
Zomato,40000.00,1
Expedia,35000.00,21
Keomart India Private Limited,35000.00,1
Optum,35000.00,34
SAP Labs,35000.00,4
Western Digital,35000.00,5
Fractal Analytics,30000.00,3
ITC,30000.00,1
Schlumberger,30000.00,3
GE Power,25000.00,2
Schneider Electric,25000.00,1
TVSM,25000.00,2
Becton Dickinson,20000.00,1
Iotech Designs Pvt. Ltd.,20000.00,1
GW (Gaddi Web),12000.00,3
Eduladder,15000.00,1
MITACS Globalink,128814.00,1
SAIL,0.00,1
Anveshan Foundation,0.00,10
CRIS - Govt. Org.,0.00,1
DRDO,0.00,2
Ericsson,0.00,1
NetApp Bootcamp,0.00,1
Salesforce,0.00,1
Training Internship at IIT Indore,0.00,2
